,Team,MVP_for_season,MVP_FP_for_season,Season,MVP_ingame,date_game,home_court,Opponent,Result,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Points,Opponent Field Goals,Opponent Field Goal Attempts,Opponent Field Goal Percentage,Opponent 2-Point Field Goals,Opponent 2-Point Field Goal Attempts,Opponent 2-Point Field Goal Percentage,Opponent 3-Point Field Goals,Opponent 3-Point Field Goal Attempts,Opponent 3-Point Field Goal Percentage,Opponent Free Throws,Opponent Free Throw Attempts,Opponent Free Throw Percentage,Opponent Points,MatchNo,SeasonMatchNo,performance,since_last_absence,nth_skipped_seasonal_game,absence_period_code,absence_period_length,games_without_MVP,games_since_last_absence,games_with_MVP_afterreturn
0,BOS,Rajon Rondo,39.4,2012-13,1,2012-10-30,1,MIA,L 107-120 ,240,39,75,0.52,33,62,0.532,6,13,0.462,23,28,0.821,107,43,79,0.544,35,63,0.556,8,16,0.5,26,32,0.813,120,1,1,0.8916666666666667,0,,,,,0,0
1,CLE,Anderson Varejao,40.8,2012-13,1,2012-10-30,0,WAS,W 94-84 ,240,36,79,0.456,29,59,0.49200000000000005,7,20,0.35,15,22,0.682,94,32,90,0.35600000000000004,24,58,0.414,8,32,0.25,12,20,0.6,84,1,1,1.119047619047619,0,,,,,0,0
2,DAL,Dirk Nowitzki,32.2,2012-13,0,2012-10-30,1,LAL,W 99-91 ,240,40,85,0.47100000000000003,35,70,0.5,5,15,0.33299999999999996,14,18,0.778,99,38,77,0.494,35,64,0.547,3,13,0.231,12,31,0.387,91,1,1,1.0879120879120878,0,1.0,98.0,27.0,1.0,0,0
3,LAL,Kobe Bryant,44.4,2012-13,1,2012-10-30,0,DAL,L 91-99 ,240,38,77,0.494,35,64,0.547,3,13,0.231,12,31,0.387,91,40,85,0.47100000000000003,35,70,0.5,5,15,0.33299999999999996,14,18,0.778,99,1,1,0.9191919191919192,0,,,,,0,0
4,MIA,LeBron James,52.1,2012-13,1,2012-10-30,0,BOS,W 120-107 ,240,43,79,0.544,35,63,0.556,8,16,0.5,26,32,0.813,120,39,75,0.52,33,62,0.532,6,13,0.462,23,28,0.821,107,1,1,1.1214953271028036,0,,,,,0,0
5,WAS,John Wall,37.7,2012-13,0,2012-10-30,1,CLE,L 84-94 ,240,32,90,0.35600000000000004,24,58,0.414,8,32,0.25,12,20,0.6,84,36,79,0.456,29,59,0.49200000000000005,7,20,0.35,15,22,0.682,94,1,1,0.8936170212765957,0,1.0,548.0,33.0,1.0,0,0
6,CHI,Joakim Noah,38.4,2012-13,1,2012-10-31,0,SAC,W 93-87 ,240,33,79,0.418,31,70,0.44299999999999995,2,9,0.222,25,33,0.758,93,34,84,0.405,28,67,0.418,6,17,0.353,13,16,0.813,87,1,1,1.0689655172413792,0,,,,,0,0
7,DAL,Dirk Nowitzki,32.2,2012-13,0,2012-10-31,1,UTA,L 94-113 ,240,32,85,0.376,21,63,0.33299999999999996,11,22,0.5,19,26,0.731,94,38,89,0.42700000000000005,32,75,0.42700000000000005,6,14,0.429,31,42,0.738,113,2,2,0.831858407079646,1,2.0,98.0,27.0,2.0,1,0
8,DEN,Ty Lawson,32.4,2012-13,1,2012-10-31,1,PHI,L 75-84 ,240,33,88,0.375,29,70,0.414,4,18,0.222,5,11,0.455,75,30,85,0.353,23,60,0.38299999999999995,7,25,0.28,17,21,0.81,84,1,1,0.8928571428571429,0,,,,,0,0
9,DET,Greg Monroe,35.8,2012-13,1,2012-10-31,0,HOU,L 96-105 ,240,35,79,0.44299999999999995,29,63,0.46,6,16,0.375,20,26,0.769,96,39,79,0.494,29,52,0.5579999999999999,10,27,0.37,17,23,0.7390000000000001,105,1,1,0.9142857142857143,0,,,,,0,0
10,GSW,Stephen Curry,40.3,2012-13,1,2012-10-31,1,PHO,W 87-85 ,240,33,86,0.384,28,69,0.406,5,17,0.294,16,23,0.696,87,32,80,0.4,28,59,0.475,4,21,0.19,17,22,0.773,85,1,1,1.0235294117647058,0,,,,,0,0
11,HOU,James Harden,43.7,2012-13,1,2012-10-31,1,DET,W 105-96 ,240,39,79,0.494,29,52,0.5579999999999999,10,27,0.37,17,23,0.7390000000000001,105,35,79,0.44299999999999995,29,63,0.46,6,16,0.375,20,26,0.769,96,1,1,1.09375,0,,,,,0,0
12,IND,Paul George,37.2,2012-13,1,2012-10-31,1,TOR,W 90-88 ,240,37,78,0.474,32,67,0.478,5,11,0.455,11,16,0.688,90,33,91,0.363,27,74,0.365,6,17,0.353,16,19,0.8420000000000001,88,1,1,1.0227272727272727,0,,,,,0,0
13,LAC,Chris Paul,41.4,2012-13,1,2012-10-31,0,MEM,W 101-92 ,240,38,74,0.514,33,59,0.5589999999999999,5,15,0.33299999999999996,20,29,0.69,101,33,86,0.384,31,72,0.431,2,14,0.14300000000000002,24,30,0.8,92,1,1,1.0978260869565217,0,,,,,0,0
14,LAL,Kobe Bryant,44.4,2012-13,1,2012-10-31,1,POR,L 106-116 ,240,36,72,0.5,28,54,0.519,8,18,0.444,26,32,0.813,106,42,83,0.506,33,63,0.524,9,20,0.45,23,28,0.821,116,2,2,0.9137931034482759,1,,,,,1,1
15,MEM,Marc Gasol,35.6,2012-13,1,2012-10-31,1,LAC,L 92-101 ,240,33,86,0.384,31,72,0.431,2,14,0.14300000000000002,24,30,0.8,92,38,74,0.514,33,59,0.5589999999999999,5,15,0.33299999999999996,20,29,0.69,101,1,1,0.9108910891089109,0,,,,,0,0
16,NOH,Anthony Davis,32.2,2012-13,1,2012-10-31,0,SAS,L 95-99 ,240,35,80,0.43799999999999994,31,63,0.49200000000000005,4,17,0.235,21,23,0.9129999999999999,95,38,80,0.475,32,60,0.5329999999999999,6,20,0.3,17,26,0.654,99,1,1,0.9595959595959596,0,,,,,0,0
17,PHI,Jrue Holiday,37.0,2012-13,1,2012-10-31,0,DEN,W 84-75 ,240,30,85,0.353,23,60,0.38299999999999995,7,25,0.28,17,21,0.81,84,33,88,0.375,29,70,0.414,4,18,0.222,5,11,0.455,75,1,1,1.12,0,,,,,0,0
18,PHO,,,2012-13,1,2012-10-31,0,GSW,L 85-87 ,240,32,80,0.4,28,59,0.475,4,21,0.19,17,22,0.773,85,33,86,0.384,28,69,0.406,5,17,0.294,16,23,0.696,87,1,1,0.9770114942528736,0,,,,,0,0
